FILE ID,Media Link,Notes,File Type,Raw Creation Data,Duration,Raw Metadata
EFTA00033008,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033008.mp4,Prison CCTV,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 34 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 30 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033009,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033009.mp4,Prison CCTV,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 34 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 30 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033010,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033010.mp4,Prison CCTV,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 37 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 32 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033011,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033011.mp4,Prison CCTV day before death,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 33 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 29 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033012,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033012.mp4,Prison CCTV day before death,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 34 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 29 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033013,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033013.mp4,Prison CCTV day before death,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 32 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 28 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033014,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033014.mp4,Prison CCTV day before death,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 31 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 27 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033015,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033015.mp4,Prison CCTV Day of Death,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 30 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 26 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033016,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033016.mp4,Prison CCTV Day of Death,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 31 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 27 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033017,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033017.mp4,Prison CCTV Day of Death,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 34 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 30 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
